Geo Point;Geo Shape;gid;libelle;ident;type;zone;comptage_5m;cdate;mdate
44.8938988, -0.6159589;"{""coordinates"": [-0.6159589, 44.8938988], ""type"": ""Point""}";2727;Arrêt de bus ZI Campilleau avenue des Quatre Ponts - Vers Rue de Magnol;PZ.1;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.8422889, -0.5391828;"{""coordinates"": [-0.5391828, 44.8422889], ""type"": ""Point""}";2546;35 Cours Gambetta - Vers Rue Marcelin Berthelot;P17.2;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.9458649, -0.4896129;"{""coordinates"": [-0.4896129, 44.9458649], ""type"": ""Point""}";2507;33 avenue du chemin de la vie - Vers Rue Saint Denis;PZ1-A.2;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.8393939, -0.5597399;"{""coordinates"": [-0.5597399, 44.8393939], ""type"": ""Point""}";2653;Quai Deschamps - Vers Rue de la Benauge;P72.1;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.8307298, -0.544754;"{""coordinates"": [-0.544754, 44.8307298], ""type"": ""Point""}";2781;9 Quai de la Souys vers rue Emile Henriot;Z503CT23;BOUCLE;503;5;2021-04-28T12:57:13+02:00;2026-09-24T10:15:00+02:00
44.9058088, -0.5171598;"{""coordinates"": [-0.5171598, 44.9058088], ""type"": ""Point""}";2490;6 avenue de la Somme - Vers Rue Montsouris;PW1-A.1;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.8492568, -0.5754269;"{""coordinates"": [-0.5754269, 44.8492568], ""type"": ""Point""}";2731;62 Cours de Verdun - Vers Cours Xavier Arnozan;PB1.1;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.7891819, -0.6124549;"{""coordinates"": [-0.6124549, 44.7891819], ""type"": ""Point""}";2691;11 Rue Naudet - Vers Rue Lucie Aubrac;PH.1;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.7865409, -0.6051048;"{""coordinates"": [-0.6051048, 44.7865409], ""type"": ""Point""}";2784;21 Cours du Général De Gaulle vers Professeur Villemin;Z1701CT24;BOUCLE;1701;1;2021-04-28T12:57:13+02:00;2026-09-24T10:15:00+02:00
44.7882859, -0.655668;"{""coordinates"": [-0.655668, 44.7882859], ""type"": ""Point""}";2469;130 avenue du Haut Lévêque - Vers Avenue de Canéjan;PP2.2;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.8943739, -0.5003939;"{""coordinates"": [-0.5003939, 44.8943739], ""type"": ""Point""}";2770;51 avenue Austin Conte - Vers Avenue Aristide Briand;PX1.2;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
44.8295489, -0.5282849;"{""coordinates"": [-0.5282849, 44.8295489], ""type"": ""Point""}";2663;23 Rue Jules Guesde - Vers Rue Emile Combes;P77.1;PONCTUEL;0;;2021-04-28T12:57:13+02:00;2021-04-28T12:57:13+02:00
